member_file_name,kelvin,vGate,vSourceDrain,sampleID,peak_MHz,peak_dB
2023-03-14_013_N/002_supp15V_Ug5p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,5.0,0.04,sample_N,1.53436239017542,-41.763614654541
2023-03-14_013_N/003_supp15V_Ug4p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,4.0,0.04,sample_N,1.53471282002091,-41.9119806289673
2023-03-14_013_N/004_supp15V_Ug3p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,3.0,0.04,sample_N,1.53463566758064,-41.9735050201416
2023-03-14_013_N/005_supp15V_Ug2p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,2.0,0.04,sample_N,1.53473882444828,-42.0229096412659
2023-03-14_013_N/006_supp15V_Ug1p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,1.0,0.04,sample_N,1.53465258244289,-42.0495328903198
2023-03-14_013_N/007_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,0.0,0.04,sample_N,1.53447521083713,-41.9744052886963
2023-03-14_013_N/008_supp15V_Ug-7p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,-7.0,0.04,sample_N,1.53384185692677,-42.2713108062744
2023-03-14_013_N/009_supp15V_Ug-6p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,-6.0,0.04,sample_N,1.53378014607896,-42.0898261070252
2023-03-14_013_N/010_supp15V_Ug-5p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,-5.0,0.04,sample_N,1.53375585587966,-41.9843811988831
2023-03-14_013_N/013_supp15V_Ug-2p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,-2.0,0.04,sample_N,1.5342872237965,-42.0642004013062
2023-03-14_013_N/014_supp15V_Ug-1p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,-1.0,0.04,sample_N,1.53416037294545,-41.9360995292664
2023-03-14_013_N/015_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,0.0,0.04,sample_N,1.53423419826017,-41.8816771507263
2023-03-14_013_N/016_supp15V_Ug6p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,6.0,0.04,sample_N,1.5349128012586,-41.7233123779297
2023-03-14_013_N/017_supp15V_Ug7p0V_Ig_Usd_0p04V_po0_6K+Isd_0659uA.csv,6.0,7.0,0.04,sample_N,1.53518459853741,-41.6891012191772
